state,varroa_mites,other_pests,diseases,pesticides,other,unknown,quarter,state_code,year,initial_count,max,lost,lost_perc,added,renovated,renovated_perc,period
Alabama,10.0,5.4,0.0,2.2,9.1,9.4,Q1,AL,2015,7000.0,7000.0,1800.0,26.0,2800.0,250.0,4.0,2015Q1
Arizona,26.9,20.5,0.1,0.0,1.8,3.1,Q1,AZ,2015,35000.0,35000.0,4600.0,13.0,3400.0,2100.0,6.0,2015Q1
Arkansas,17.6,11.4,1.5,3.4,1.0,1.0,Q1,AR,2015,13000.0,14000.0,1500.0,11.0,1200.0,90.0,1.0,2015Q1
California,24.7,7.2,3.0,7.5,6.5,2.8,Q1,CA,2015,1440000.0,1690000.0,255000.0,15.0,250000.0,124000.0,7.0,2015Q1
Colorado,14.6,0.9,1.8,0.6,2.6,5.9,Q1,CO,2015,3500.0,12500.0,1500.0,12.0,200.0,140.0,1.0,2015Q1
Connecticut,2.5,1.4,0.0,0.0,21.2,2.4,Q1,CT,2015,3900.0,3900.0,870.0,22.0,290.0,,,2015Q1
Florida,22.3,13.5,0.8,8.9,5.1,4.4,Q1,FL,2015,305000.0,315000.0,42000.0,13.0,54000.0,25000.0,8.0,2015Q1
Georgia,6.2,4.9,3.3,2.6,4.8,10.5,Q1,GA,2015,104000.0,105000.0,14500.0,14.0,47000.0,9500.0,9.0,2015Q1
Hawaii,38.8,37.7,1.6,0.0,2.0,0.0,Q1,HI,2015,10500.0,10500.0,380.0,4.0,3400.0,760.0,7.0,2015Q1
Idaho,39.8,6.7,12.5,4.8,8.9,4.9,Q1,ID,2015,81000.0,88000.0,3700.0,4.0,2600.0,8000.0,9.0,2015Q1
Illinois,12.3,6.9,0.7,0.4,12.6,11.6,Q1,IL,2015,6000.0,10500.0,4200.0,40.0,2300.0,390.0,4.0,2015Q1
Indiana,20.7,0.3,0.2,0.3,22.3,11.7,Q1,IN,2015,9000.0,9500.0,2100.0,22.0,490.0,120.0,1.0,2015Q1
Iowa,26.0,0.7,4.6,3.4,18.0,3.4,Q1,IA,2015,12500.0,17500.0,3100.0,18.0,1700.0,270.0,2.0,2015Q1
Kansas,32.7,1.3,1.1,14.2,9.5,3.4,Q1,KS,2015,4600.0,7000.0,1600.0,23.0,450.0,70.0,1.0,2015Q1
Kentucky,10.8,10.7,2.5,2.5,22.7,12.9,Q1,KY,2015,7500.0,10500.0,4100.0,39.0,250.0,,,2015Q1
Louisiana,17.2,4.7,4.3,1.7,3.1,2.1,Q1,LA,2015,51000.0,51000.0,8000.0,16.0,3100.0,6500.0,13.0,2015Q1
Maine,4.4,0.1,0.0,0.0,7.5,1.9,Q1,ME,2015,3100.0,6500.0,380.0,6.0,20.0,,,2015Q1
Maryland,10.1,1.8,0.4,0.0,24.2,12.4,Q1,MD,2015,7500.0,10000.0,4100.0,41.0,1600.0,870.0,9.0,2015Q1
Massachusetts,23.5,3.5,2.1,2.8,7.6,4.7,Q1,MA,2015,2900.0,4600.0,1000.0,22.0,260.0,120.0,3.0,2015Q1
Michigan,14.3,3.1,1.1,1.6,8.3,4.6,Q1,MI,2015,16500.0,60000.0,11500.0,19.0,7500.0,2400.0,4.0,2015Q1
Minnesota,1.4,0.1,0.0,0.1,1.6,2.1,Q1,MN,2015,28000.0,74000.0,3700.0,5.0,690.0,530.0,1.0,2015Q1
Mississippi,9.4,8.2,0.1,2.1,1.2,1.1,Q1,MS,2015,34000.0,76000.0,8500.0,11.0,22000.0,7500.0,10.0,2015Q1
Missouri,13.1,6.0,2.2,4.2,11.8,6.3,Q1,MO,2015,12000.0,13000.0,2000.0,15.0,220.0,910.0,7.0,2015Q1
Montana,8.7,0.5,0.6,0.8,2.3,7.9,Q1,MT,2015,8500.0,36000.0,2200.0,6.0,1400.0,1100.0,3.0,2015Q1
Nebraska,5.9,0.1,0.1,0.5,0.3,3.0,Q1,NE,2015,10000.0,31000.0,2600.0,8.0,120.0,310.0,1.0,2015Q1
New Jersey,40.1,13.2,30.4,11.1,19.5,16.7,Q1,NJ,2015,6000.0,9000.0,1100.0,12.0,570.0,1600.0,18.0,2015Q1
